name,latinName,sizeClass,growth,uses
Anise Hyssop,Agastache foeniculum,default,Sun to part-shade. Perennial.,Aromatic teas. Floral arrangements.
Black Eyed Susan,Rudbekia hurta,default,Sun to part-shade. Annual.,Cheerful flowers. Resilient and great for playspaces.
Bloody Dock,Rumex sanguines,default,Sun to part-shade. Perennial.,Yummy sour leaves. Deep magenta veins on spinach green leaves.
Calamus,Acorus calamus americanus,default,Sun or shade. Perennial.,Water loving plant. Sweet smell. Great for damp play spaces.
Christmas Fern,Polystichum acrostichoides,largePlantOnly,Shade. Evergreen.,Great for playspaces and shady gardens.
Clary Sage,Salvia sclera,default,Sun to part-shade. Biennial.,Great smelling pollinator plant.
Comfrey,Symphytum officinale,largePlantOnly,Sun or shade. Perennial.,Great for compost. Will run around and spread easily. Attractive drooping purple flowers.
Creeping Thyme,Thymus serpyllum,default,Sun or part-shade. Perennial.,Robust yet short plant. Great for walkways and playspaces.
Echinacea,Echinacea purpurea,default,Sun or part-shade. Perennial.,Beautiful pink flowers that pollinators will love. Good immune boosting medicine.
Elderberry,Sambucus nigra var. canadensis,largePlantOnly,Sun to shade. Deciduous shrub.,Will run around and spread easily in damp soils. Bright and pungent immune boosting medicine.
Garden Sage,Salvia officinalis,default,Sun to part-shade. Perennial.,An earthy smelly herb that is excellent for cooking.
Gian Turkish Plantain,Plantago major,default,Sun or part-shade. Perennial.,Robust and spreading. Great for playspaces and bug bites.
Goldenseal,Hydrastis canadensis,largePlantOnly,Shade. Perennial.,"Woodland medicinal. Low and slow growing, bright yellow rooted beauty."
Lemon Balm,Melissa officinalis,default,Sun to shade. Perennial.,Will run around and spread easily. Smells like the brightest lemons.
Lemon Grass,Cymbopogon flexuous,default,Full-sun. Annual.,Snip the leaves for delicious tea. Use the bulb and leaves in cooking.
Marigold,,default,Sun to part-shade. Annual.,Great for your vegetable garden or playspace. Bright and cheerful and keeps some bugs at bay.
Mullein,Verbascum thapsus,default,Full-sun. Biennial.,Flowers in the second year. A wonderfully fuzzy herbal ally.
Partridgeberry,Mitchell repent,largePlantOnly,Shade. Evergreen.,"Slow growing, low evergreen native ground cover."
Purple Basil,Ocimum basilicum ‘Purpurascens’,default,Full-sun. Annual.,Spicy annual. A warming addition to pesto and iced tea.
Rue,Ruta graveolens,default,Sun to part-shade. Perennial.,"Rich in folklore and medicine, this is a beautiful plant to add to your home garden."
Stinging Nettles,Urtica dioica,default,Sun or shade. Perennial.,"Yes, they do sting. Spreads easily. You may want to grow in a container. Great for broths, cooking, and beverages."
Toothache Plant - Spilanthes,Acmella oleracea,default,Sun to part-shade. Annual.,"Tincture or nibble for tooth pain. Be careful, it’s potent!"
Tulsi Rama,Ocimum sanctum,default,Full-sun. Annual. (overwinter indoors),"Tea, gentle stimulant."
Tulsi Temperate,Ocimum africanum,default,Full-sun. Annual. (overwinter indoors),Tea.
Tulsi Vana,Ocimum gratissima,default,Full-sun. Perennial. (overwinter indoors),"Tea, used for stress, anxiety, heart disease, arthritis, diabetes, and dementia"
Yarrow,Achillea millefolium,default,Sun to shade. Perennial.,Beautifully lacy leaves and white flowers. Good first aid plant.